home_pos,home_value,home_score_form,home_concede_form,away_pos,away_value,away_score_form,away_concede_form,home_result_score,away_result_score
15,1276,0.6666666666666666,4,13,1182,3,2,2,1
16,1221,1.6666666666666667,8,5,1284,3,2,1,1
2,1461,1.6666666666666667,1,11,1302,1,7,4,0
19,1172,0.6666666666666666,5,7,1401,7,2,0,0
8,1374,1.6666666666666667,3,20,1120,6,5,1,0
1,1478,3.3333333333333335,2,15,1201,7,7,8,0
18,1172,0.6666666666666666,8,4,1299,3,3,4,2
14,1206,1.3333333333333333,4,9,1320,2,2,2,1
6,1427,1.3333333333333333,3,10,1315,5,5,0,1
3,1368,1.0,5,12,1233,4,5,4,0
5,1343,1.0,2,4,1382,4,4,0,1
12,1275,1.3333333333333333,4,10,1277,1,9,0,1
15,1207,1.6666666666666667,5,18,1172,0,3,2,2
10,1302,1.0,4,3,1306,3,5,2,1
7,1414,2.3333333333333335,0,1,1484,9,2,0,2
10,1230,0.3333333333333333,2,17,1234,4,5,3,2
10,1243,1.0,2,1,1469,4,1,0,1
9,1266,0.3333333333333333,6,20,1147,5,7,2,1
4,1382,1.6666666666666667,5,14,1211,4,4,1,0
11,1277,0.3333333333333333,9,8,1378,7,5,0,0
18,1257,1.0,4,15,1276,1,1,3,1
4,1333,1.6666666666666667,2,6,1427,5,1,3,1
5,1427,2.0,3,9,1343,2,6,1,0
8,1373,2.3333333333333335,6,12,1079,2,1,2,1
19,1148,2.0,9,6,1418,4,1,0,4
1,1460,1.3333333333333333,3,13,1319,3,2,7,0
1,1436,0.6666666666666666,2,4,1382,5,5,3,1
15,1285,0.0,1,11,1286,2,3,1,1
16,1230,1.0,5,15,1271,4,4,3,2
18,1216,0.3333333333333333,6,10,1183,5,3,0,1
14,1208,0.6666666666666666,3,20,1199,1,2,2,2
3,1379,1.3333333333333333,5,5,1382,11,3,0,0
18,1198,0.3333333333333333,6,6,1427,5,3,0,2
6,1429,1.3333333333333333,1,17,1201,3,3,3,0
15,1272,0.3333333333333333,5,3,1296,3,3,3,2
20,1021,0.0,2,6,1410,4,9,1,2
10,1268,0.6666666666666666,3,15,1282,0,1,0,0
11,1293,0.3333333333333333,0,8,1359,4,4,2,3
9,1338,1.0,7,18,1222,3,6,0,0
4,1279,1.6666666666666667,4,1,1481,10,2,2,1
4,1373,4.666666666666667,2,2,1440,5,2,0,1
13,1182,1.0,5,18,1153,5,8,2,1
10,1295,1.0,0,14,1208,0,6,1,2
16,1272,0.6666666666666666,5,20,919,0,7,0,0
7,1424,1.0,8,8,1365,4,2,2,2
5,1357,1.6666666666666667,4,3,1407,4,1,2,1
1,1452,4.666666666666667,2,15,1208,0,7,1,0
14,1282,1.0,2,10,1214,4,2,0,0
10,1323,1.0,1,2,1427,7,3,0,0
6,1429,1.6666666666666667,3,10,1272,3,5,0,0
4,1253,3.0,3,9,1326,3,4,5,1
16,1217,1.0,6,13,1180,4,5,1,0
19,1251,1.3333333333333333,5,18,1154,1,8,1,4
12,1276,0.3333333333333333,7,16,1249,2,5,2,1
9,1338,1.0,6,6,1457,8,3,1,1
8,1342,1.3333333333333333,0,17,1183,1,6,2,2
2,1369,3.0,1,1,1468,13,2,1,2
13,1212,1.3333333333333333,5,5,1351,7,2,3,1
10,1312,0.6666666666666666,2,18,1268,5,5,2,0
20,997,1.0,9,10,1321,4,2,0,0
15,1191,1.3333333333333333,6,7,1424,4,10,0,1
3,1395,1.6666666666666667,2,14,1283,5,3,1,0
19,1149,0.3333333333333333,4,4,1337,5,3,1,6
5,1385,1.0,4,16,1267,2,6,3,0
19,1149,0.6666666666666666,4,10,1249,4,5,0,1
5,1451,1.6666666666666667,4,13,1147,5,3,3,0
14,1290,2.3333333333333335,4,8,1371,6,2,0,0
17,1214,0.6666666666666666,9,10,1278,2,3,0,1
4,1347,2.3333333333333335,3,20,1119,4,11,2,0
18,1244,1.3333333333333333,10,10,1271,1,5,2,0
2,1454,3.3333333333333335,2,7,1415,5,4,7,1
9,1338,1.3333333333333333,7,3,1417,7,2,1,1
14,1187,1.3333333333333333,6,1,1357,6,1,0,4
20,1219,1.6666666666666667,8,2,1448,7,6,0,5
5,1376,2.3333333333333335,4,8,1410,9,3,0,2
7,1399,1.3333333333333333,3,13,1204,8,2,1,1
11,1251,1.0,6,9,1326,5,6,2,1
17,1208,0.6666666666666666,8,15,1285,4,4,1,3
10,1267,0.6666666666666666,4,5,1376,5,3,1,2
12,1249,1.6666666666666667,5,3,1367,8,5,1,1
1,1453,2.3333333333333335,0,5,1433,6,3,2,1
7,1399,2.3333333333333335,3,16,1290,2,3,2,2
15,1248,0.6666666666666666,6,18,1169,3,6,1,0
12,1187,1.6666666666666667,1,9,1338,5,3,3,1
11,1288,0.6666666666666666,4,4,1198,8,2,1,2
20,1231,1.3333333333333333,7,19,1227,2,10,3,2
8,1406,2.6666666666666665,5,13,1188,6,5,2,0
1,1426,2.6666666666666665,3,16,1198,2,9,2,0
15,1254,0.3333333333333333,5,7,1424,6,3,1,2
5,1433,0.6666666666666666,2,20,1143,4,5,4,1
1,1341,1.6666666666666667,3,10,1291,5,1,3,0
14,1203,1.3333333333333333,2,5,1376,5,3,1,1
4,1359,1.6666666666666667,2,12,1303,5,2,3,1
11,1288,1.3333333333333333,5,7,1424,6,3,0,0
1,1450,1.6666666666666667,6,16,1210,4,5,4,1
18,1165,1.0,6,17,1285,0,4,1,2
13,1121,1.0,5,15,1254,1,4,4,0
8,1345,1.3333333333333333,3,9,1375,9,4,2,2
19,1222,0.3333333333333333,9,1,1398,8,2,1,2
18,1147,1.3333333333333333,10,11,1200,4,5,1,1
13,1206,0.3333333333333333,3,14,1192,3,4,4,0
20,1260,1.3333333333333333,4,8,1265,2,4,1,2
14,1254,0.0,4,6,1463,2,2,1,0
8,1370,2.0,4,18,1199,2,5,5,1
14,1138,1.6666666666666667,3,13,1192,1,3,1,2
3,1444,2.0,1,19,1147,3,10,3,1
17,1285,0.3333333333333333,3,1,1414,5,4,0,1
4,1365,1.0,1,10,1370,5,3,2,1
14,1209,0.6666666666666666,4,9,1270,5,1,0,0
5,1423,0.3333333333333333,1,12,1327,4,3,2,1
1,1449,1.6666666666666667,2,4,1352,3,1,2,4
19,1147,1.3333333333333333,9,20,1251,2,8,1,2
15,1190,0.0,5,17,1285,2,4,1,0
8,1338,1.0,5,15,1280,1,4,1,0
11,1308,1.3333333333333333,3,3,1411,3,2,1,3
2,1411,2.3333333333333335,4,13,1140,6,2,3,0
7,1424,1.0,1,19,1128,3,6,5,2
5,1346,1.3333333333333333,3,6,1435,3,1,0,0
9,1270,1.3333333333333333,0,10,1338,3,4,2,1
15,1275,0.6666666666666666,2,4,1376,1,2,0,3
12,1326,0.3333333333333333,3,18,1185,0,2,3,0
8,1366,1.0,2,2,1443,9,2,3,1
16,1275,1.3333333333333333,4,1,1436,4,3,0,2
13,1147,1.0,2,17,1205,3,3,3,0
3,1404,0.6666666666666666,5,13,1203,2,2,2,0
20,1259,0.3333333333333333,7,11,1297,5,2,1,2
14,1280,0.6666666666666666,3,18,1185,0,4,0,0
11,1313,1.3333333333333333,1,4,1368,5,2,1,1
15,1282,1.0,4,6,1377,3,1,1,0
14,1150,0.6666666666666666,3,8,1260,3,5,2,0
7,1413,0.6666666666666666,0,2,1447,12,1,1,1
3,1422,0.3333333333333333,5,4,1396,3,0,1,0
9,1343,1.0,1,1,1465,5,2,2,1
11,1328,0.6666666666666666,4,15,1205,5,4,1,0
14,1280,0.6666666666666666,4,11,1305,4,1,1,1
20,1243,0.0,8,13,1116,1,3,1,1
5,1388,1.0,4,17,1202,1,2,2,0
9,1270,0.3333333333333333,2,16,1148,3,4,3,0
8,1269,0.6666666666666666,5,19,1275,2,4,2,1
1,1485,2.0,2,3,1424,5,5,2,0
4,1443,1.3333333333333333,0,9,1344,5,0,1,0
13,1269,0.6666666666666666,9,16,1280,3,3,1,1
11,1305,1.3333333333333333,3,12,1330,4,1,3,0
1,1319,3.3333333333333335,1,20,1252,1,4,5,0
14,1205,1.0,7,6,1372,6,3,2,1
14,1148,0.3333333333333333,6,17,1145,1,1,2,1
14,1178,1.0,6,10,1266,1,4,0,0
4,1377,1.0,3,7,1423,2,0,0,0
10,1270,0.0,6,20,1252,2,7,1,0
18,1226,0.6666666666666666,6,1,1485,12,3,1,1
13,1315,1.3333333333333333,11,12,1311,4,4,0,0
6,1429,2.3333333333333335,3,20,1227,2,7,2,0
3,1445,2.0,2,2,1367,8,1,1,3
14,1271,1.0,7,9,1304,6,2,0,1
15,1192,0.3333333333333333,3,10,1330,5,5,0,0
5,1409,1.0,1,15,1189,3,6,2,0
19,1220,0.6666666666666666,6,16,1278,0,5,2,2
10,1318,0.6666666666666666,7,5,1414,0,1,0,2
8,1335,0.6666666666666666,4,4,1411,2,2,1,1
18,1166,0.0,6,1,1459,12,3,1,2
1,1459,3.0,3,8,1334,2,1,3,0
7,1414,0.0,4,2,1418,8,4,0,0
9,1331,2.0,2,13,1320,5,10,2,0
10,1328,1.6666666666666667,6,14,1269,3,6,2,1
17,1275,0.0,7,5,1416,4,1,0,0
20,1164,1.0,6,16,1175,2,2,1,1
4,1409,0.6666666666666666,2,9,1322,3,7,2,0
15,1216,1.3333333333333333,8,16,1252,1,6,1,0
1,1439,3.0,1,18,1240,3,5,4,0
1,1419,2.6666666666666665,3,19,1226,3,5,4,2
6,1390,1.3333333333333333,1,4,1413,2,0,2,0
6,1424,0.3333333333333333,4,16,1245,3,3,0,0
12,1320,1.3333333333333333,7,9,1327,3,5,2,0
19,1229,2.0,4,3,1335,9,3,0,2
11,1306,1.0,5,7,1387,3,2,1,1
16,1281,0.6666666666666666,5,13,1279,2,8,0,2
4,1408,1.3333333333333333,0,16,1240,3,8,0,0
2,1409,3.0,2,14,1260,1,5,3,0
1,1456,1.0,2,12,1022,6,7,7,2
10,1253,1.6666666666666667,3,4,1447,9,1,2,0
4,1413,3.0,3,13,1328,3,5,4,1
3,1403,3.3333333333333335,1,12,1303,4,2,2,2
8,1332,0.6666666666666666,1,2,1376,8,4,1,1
10,1235,0.0,4,9,1329,4,2,3,2
20,1289,1.0,4,3,1412,7,1,1,4
2,1409,2.0,4,16,1290,4,5,5,0
6,1408,1.0,3,7,1444,4,3,0,1
18,1229,2.3333333333333335,5,19,1262,1,6,2,2
4,1417,1.6666666666666667,0,17,1194,4,4,2,0
12,1308,0.6666666666666666,5,7,1334,3,2,0,1
11,1326,1.6666666666666667,5,14,1267,2,4,2,0
1,1467,1.0,2,9,1299,4,1,2,1
12,1330,0.6666666666666666,5,10,1014,4,7,2,2
16,1288,0.6666666666666666,5,5,1367,6,6,0,3
3,1447,2.0,2,4,1427,4,0,3,0
19,1262,0.0,6,2,1353,3,4,1,3
16,1213,1.6666666666666667,7,12,1334,1,4,1,1
10,1250,1.3333333333333333,7,13,1340,6,6,1,1
6,1367,2.3333333333333335,9,11,1306,2,5,2,0
6,1418,1.0,5,14,1282,3,3,2,0
7,1334,1.3333333333333333,2,1,1469,6,5,0,0
15,1200,0.6666666666666666,5,20,1309,4,3,2,0
9,1312,1.6666666666666667,1,5,1417,5,1,0,0
12,1267,0.6666666666666666,4,17,1230,7,6,1,1
12,1282,1.0,4,14,1271,2,4,2,0
14,1333,1.6666666666666667,7,7,1334,6,3,1,1
19,1196,0.3333333333333333,8,1,1469,6,6,1,1
20,1297,1.3333333333333333,3,7,1445,3,3,2,0
6,1475,1.6666666666666667,7,10,1258,1,4,4,3
8,1301,1.0,2,2,1270,7,1,3,0
13,1332,0.3333333333333333,2,5,1407,5,3,0,2
4,1427,2.0,0,11,1301,2,4,1,0
3,1417,1.6666666666666667,2,16,1283,1,4,3,0
1,1465,2.3333333333333335,5,20,1298,4,5,2,1
13,1275,1.3333333333333333,8,3,1430,4,4,1,1
5,1417,1.0,4,8,1470,6,5,3,0
6,1442,1.0,2,14,1288,5,5,2,1
10,1271,0.3333333333333333,3,3,1427,5,1,0,2
2,1358,2.6666666666666665,2,18,1260,3,2,3,0
17,1233,1.6666666666666667,6,19,1243,5,8,3,1
6,1264,1.6666666666666667,2,12,1337,0,0,2,1
7,1458,1.3333333333333333,2,3,1442,2,4,1,2
11,1306,0.3333333333333333,2,14,1284,4,12,2,2
5,1409,4.0,4,17,1275,2,6,0,1
10,1163,0.3333333333333333,2,20,1265,3,5,1,1
15,1284,1.3333333333333333,6,12,1335,0,3,0,0
1,1468,2.6666666666666665,2,14,1301,4,7,3,3
13,1275,1.3333333333333333,8,9,1305,5,1,1,1
18,1225,0.6666666666666666,5,6,1483,5,4,3,3
8,1264,1.6666666666666667,2,17,1254,8,10,1,0
2,1363,3.6666666666666665,1,3,1427,5,2,0,1
8,1301,1.3333333333333333,2,10,1256,1,3,1,0
15,1337,0.6666666666666666,8,4,1413,12,2,2,2
18,1276,0.3333333333333333,9,19,1155,2,8,2,1
14,1309,1.0,10,8,1260,4,2,2,3
17,1249,3.0,8,2,1367,7,2,0,4
